neighbourhood,price,listing_count,distance_km,number_of_reviews,price_score,location_score,demand_score,investment_score
Edgemere,94.72727272727273,11,29.74090909090909,10.272727272727273,11.8,25.1,8.7,14.9
Elmhurst,80.45991561181435,237,11.548101265822785,23.434599156118143,10.1,70.9,19.8,31.2
Eltingville,141.66666666666666,3,29.893333333333334,76.0,17.7,24.8,64.1,33.8
Emerson Hill,68.2,5,20.598,11.2,8.5,48.2,9.5,20.7
Far Rockaway,165.86206896551724,29,31.34896551724138,12.89655172413793,20.7,21.1,10.9,17.9
Fieldston,75.08333333333333,12,17.5325,12.166666666666666,9.4,55.9,10.3,23.6
Financial District,217.65540540540542,740,1.3972837837837837,9.366216216216216,27.2,96.5,7.9,42.2
Flatbush,89.11793214862682,619,9.864781906300484,20.654281098546043,11.1,75.2,17.4,32.2
Flatiron District,275.05263157894734,76,2.118289473684211,18.605263157894736,34.4,94.7,15.7,46.9
Flatlands,107.2439024390244,82,13.844268292682926,22.426829268292682,13.4,65.2,18.9,30.6
Flushing,88.05896226415095,424,16.805825471698114,34.948113207547166,11.0,57.7,29.5,30.6
Fordham,69.44444444444444,63,14.225079365079367,15.174603174603174,8.7,64.2,12.8,26.6
Forest Hills,106.04195804195804,143,15.972237762237764,22.447552447552447,13.3,59.8,18.9,28.9
Fort Greene,149.22540983606558,488,3.4802049180327868,21.735655737704917,18.7,91.2,18.3,40.3
Fort Hamilton,93.81818181818181,55,13.384181818181817,13.545454545454545,11.7,66.3,11.4,28.0
Fort Wadsworth,800.0,1,17.73,0.0,100.0,55.4,0.0,56.6
Fresh Meadows,99.5,32,20.71375,32.65625,12.4,47.9,27.6,27.6
Glendale,90.79629629629629,54,12.030185185185186,27.01851851851852,11.3,69.7,22.8,32.3
Gowanus,150.57551020408164,245,4.509142857142857,31.46530612244898,18.8,88.6,26.6,42.1
Gramercy,190.5787878787879,330,2.964060606060606,23.145454545454545,23.8,92.5,19.5,43.1
Graniteville,68.66666666666667,3,22.42,41.0,8.6,43.6,34.6,26.9
Grant City,57.666666666666664,6,22.46666666666667,26.833333333333332,7.2,43.4,22.6,22.7
Gravesend,79.01470588235294,68,16.386029411764707,19.647058823529413,9.9,58.8,16.6,26.6
Great Kills,100.6,10,28.219,26.4,12.6,29.0,22.3,20.4
Greenpoint,136.09793351302784,1113,5.657681940700809,17.44115004492363,17.0,85.8,14.7,36.9
Greenwich Village,213.07049608355092,383,2.716057441253264,16.942558746736292,26.6,93.2,14.3,42.9
Grymes Hill,159.14285714285714,7,17.19857142857143,10.571428571428571,19.9,56.7,8.9,27.6
Harlem,113.03132075471699,2650,5.279056603773585,28.643396226415096,14.1,86.7,24.2,38.9
Hell's Kitchen,195.70739219712524,1948,1.0978644763860368,25.754620123203285,24.5,97.2,21.7,45.5
Highbridge,71.11111111111111,27,8.795555555555556,48.81481481481482,8.9,77.9,41.2,39.3
Hollis,88.64285714285714,14,24.260714285714283,11.714285714285714,11.1,38.9,9.9,19.1
Holliswood,135.75,4,23.435,3.75,17.0,41.0,3.2,20.1
Howard Beach,115.4,20,18.134,13.6,14.4,54.4,11.5,25.5
Howland Hook,100.0,2,22.435000000000002,20.5,12.5,43.5,17.3,23.2
Huguenot,118.33333333333333,3,31.24,55.666666666666664,14.8,21.4,47.0,26.4
Hunts Point,50.5,18,9.857777777777777,9.777777777777779,6.3,75.2,8.3,27.6
Inwood,88.89682539682539,252,12.945912698412698,18.61111111111111,11.1,67.4,15.7,29.4
Jackson Heights,80.89784946236558,186,10.420967741935483,27.20967741935484,10.1,73.8,23.0,33.1
Jamaica,91.8391304347826,230,23.440565217391303,43.08695652173913,11.5,41.0,36.4,27.8
Jamaica Estates,182.94736842105263,19,21.672105263157892,31.36842105263158,22.9,45.4,26.5,30.7
Jamaica Hills,132.125,8,21.19125,8.625,16.5,46.7,7.3,22.8
Kensington,92.88571428571429,175,9.743142857142857,16.982857142857142,11.6,75.5,14.3,31.6
Kew Gardens,88.375,32,18.4484375,10.375,11.0,53.6,8.8,23.1
Kew Gardens Hills,112.3076923076923,26,18.408076923076923,12.73076923076923,14.0,53.7,10.7,24.9
Kingsbridge,77.92857142857143,70,15.535285714285715,20.5,9.7,60.9,17.3,27.3
Kips Bay,191.28907922912205,467,2.489914346895075,12.498929336188437,23.9,93.7,10.5,40.8
Laurelton,95.33333333333333,18,28.460555555555555,29.333333333333332,11.9,28.4,24.8,20.7
Lighthouse Hill,157.5,2,24.39,39.0,19.7,38.6,32.9,29.3
Little Italy,180.16666666666666,120,1.8681666666666668,23.325,22.5,95.3,19.7,43.5
Little Neck,75.2,5,26.357999999999997,3.8,9.4,33.7,3.2,14.8
Long Island City,121.86728971962617,535,5.068261682242991,22.906542056074766,15.2,87.2,19.3,38.0
Longwood,91.91935483870968,62,9.013064516129031,26.661290322580644,11.5,77.3,22.5,34.5
Lower East Side,161.4476295479603,907,2.111367144432194,26.611907386990076,20.2,94.7,22.5,43.2
Manhattan Beach,103.5,8,19.43125,50.625,12.9,51.1,42.7,33.3
Marble Hill,89.16666666666667,12,14.94,14.0,11.1,62.4,11.8,26.7
Mariners Harbor,94.625,8,21.01,21.625,11.8,47.1,18.2,24.3
Maspeth,83.64545454545454,110,10.322818181818182,22.636363636363637,10.5,74.0,19.1,32.1
Melrose,83.3,10,7.922,9.0,10.4,80.1,7.6,30.5
Middle Village,109.58064516129032,31,13.098387096774195,34.03225806451613,13.7,67.0,28.7,34.2
Midland Beach,91.83333333333333,6,22.301666666666666,6.166666666666667,11.5,43.9,5.2,19.3
Midtown,263.7634691195795,1522,1.6920499342969777,12.694480946123521,33.0,95.7,10.7,45.1
Midwood,80.33944954128441,109,13.288440366972477,15.18348623853211,10.0,66.6,12.8,27.8
Mill Basin,179.75,4,16.4525,17.25,22.5,58.6,14.6,31.0
Morningside Heights,111.6376811594203,345,3.7778260869565217,13.330434782608696,14.0,90.5,11.2,36.1
Morris Heights,76.94117647058823,17,11.178823529411764,27.352941176470587,9.6,71.9,23.1,32.3
Morris Park,69.33333333333333,15,15.948666666666668,18.066666666666666,8.7,59.9,15.2,26.0
