cluster_id,center_lat,center_lon,listing_count,avg_price,max_price,total_value,tier
17,41.90878238440724,-87.68659352609318,19,453.94736842105266,999.0,8625.0,Premium
19,41.908461159999995,-87.65030412000002,20,446.45,851.0,8929.0,Premium
4,41.94735210694489,-87.65553823188142,133,426.50375939849624,993.0,56725.0,Premium
9,41.885878794669104,-87.64936908885888,85,395.0705882352941,881.0,33581.0,Premium
12,41.92945889296298,-87.64418160823996,31,394.96774193548384,999.0,12244.0,Premium
3,41.895121897326675,-87.65888686215912,69,393.9130434782609,965.0,27180.0,Premium
14,41.90895201704715,-87.63306887097815,21,390.6666666666667,701.0,8204.0,Premium
29,41.88492237083582,-87.65931492569777,31,382.51612903225805,996.0,11858.0,Premium
8,41.89229649277379,-87.62957708225659,732,379.9603825136612,999.0,278131.0,Premium
10,41.935577288195965,-87.64582698025971,12,379.25,838.0,4551.0,Premium
0,41.91206686253774,-87.6390625554236,28,361.7142857142857,696.0,10128.0,Premium
1,41.92292373526987,-87.64977513520027,13,361.6923076923077,752.0,4702.0,Premium
6,41.90762209731996,-87.67300530632626,84,361.67857142857144,981.0,30381.0,Premium
15,41.881446328778665,-87.68129758448644,25,356.88,712.0,8922.0,Premium
11,41.87010351018621,-87.62703653091171,197,354.6446700507614,999.0,69865.0,Premium
13,41.88657187255343,-87.61971206961425,33,348.75757575757575,826.0,11509.0,Premium
20,41.87836054121071,-87.64769321173902,28,347.2142857142857,899.0,9722.0,Premium
25,41.87637486774194,-87.65406263548385,31,347.03225806451616,727.0,10758.0,Premium
7,41.924199960648124,-87.6984036342744,21,333.85714285714283,967.0,7011.0,Premium
24,41.85452837716038,-87.62458004199696,136,333.49264705882354,806.0,45355.0,Premium
16,41.93985991333333,-87.64162612666668,15,329.73333333333335,490.0,4946.0,Premium
26,41.85327999316702,-87.63438336901427,10,326.1,528.0,3261.0,Premium
23,41.874941764482394,-87.68912454926804,11,323.54545454545456,559.0,3559.0,Premium
2,41.884938733333335,-87.6436974142857,21,315.9047619047619,450.0,6634.0,Premium
18,41.86904118527507,-87.66262383564268,14,296.14285714285717,469.0,4146.0,Premium
21,41.9388806908748,-87.66462035147664,13,286.3076923076923,551.0,3722.0,Premium
30,41.884873445424724,-87.66652701255539,19,281.7368421052632,388.0,5353.0,Premium
22,41.941804999999995,-87.68025333333334,12,271.1666666666667,405.0,3254.0,Premium
27,41.907991032807594,-87.62698526885212,19,271.0,405.0,5149.0,Premium
31,41.89484713517892,-87.67949494710216,10,263.0,362.0,2630.0,Premium
5,41.8984911166612,-87.66913121891625,22,256.1818181818182,434.0,5636.0,Premium
28,41.983970290909085,-87.65545218181818,11,215.54545454545453,291.0,2371.0,Premium
