cluster_id,center_lat,center_lon,listing_count,avg_price,max_price,total_value,tier
8,40.70563501521075,-74.00770704575092,10,1596.6,2227.0,15966.0,Luxury
5,40.7830692,-73.9782466625,8,1487.25,2000.0,11898.0,Luxury
0,40.72555355974607,-73.99178659012539,10,1451.3,2000.0,14513.0,Luxury
1,40.75950628535217,-73.97748668129739,61,1401.360655737705,2499.0,85483.0,Luxury
7,40.73732820443408,-73.99113847124697,21,1399.952380952381,2000.0,29399.0,Luxury
3,40.75375492081385,-73.99871557769056,15,1387.2,1888.0,20808.0,Luxury
2,40.71984279374279,-74.00566216539431,33,1312.2424242424242,2147.0,43304.0,Luxury
6,40.763419343217514,-73.99566170525026,9,1238.888888888889,1581.0,11150.0,Luxury
9,40.76820187584618,-73.9862566896638,5,1214.6,1500.0,6073.0,Luxury
4,40.74523596666667,-73.99306786666668,9,1180.6666666666667,1767.0,10626.0,Luxury
