neighbourhood_cleansed,price,listing_count,distance_km,number_of_reviews,price_score,location_score,demand_score,investment_score
Edenwald,83.32,25,21.024,26.32,8.0,47.3,13.2,21.4
Edgemere,179.63636363636363,11,29.627272727272725,33.54545454545455,17.2,25.7,16.8,19.6
Elmhurst,78.7448275862069,145,11.62193103448276,28.213793103448275,7.6,70.9,14.1,28.5
Eltingville,118.33333333333333,3,29.849999999999998,28.0,11.4,25.2,14.0,16.3
Emerson Hill,94.85714285714286,7,21.017142857142858,12.142857142857142,9.1,47.3,6.1,19.7
Far Rockaway,140.6341463414634,41,31.242439024390244,13.463414634146341,13.5,21.7,6.7,13.9
Fieldston,228.25,8,17.57,23.875,21.9,56.0,11.9,29.1
Financial District,450.6467391304348,368,1.4063586956521739,30.532608695652176,43.3,96.5,15.3,50.9
Flatbush,148.14666666666668,225,9.93,45.12444444444444,14.2,75.1,22.6,35.0
Flatiron District,566.8979591836735,49,1.0646938775510204,71.42857142857143,54.4,97.3,35.7,61.7
Flatlands,145.3048780487805,82,14.159999999999998,34.048780487804876,14.0,64.5,17.0,30.0
Flushing,124.68924302788845,251,16.985657370517927,36.42231075697211,12.0,57.4,18.2,27.5
Fordham,85.40625,32,13.8490625,13.875,8.2,65.3,6.9,24.9
Forest Hills,148.4126984126984,63,15.839365079365079,30.523809523809526,14.2,60.3,15.3,28.4
Fort Greene,221.024,125,3.48568,52.88,21.2,91.3,26.4,43.8
Fort Hamilton,175.8735632183908,87,13.437701149425287,37.252873563218394,16.9,66.3,18.6,32.2
Fort Wadsworth,600.0,1,17.9,0.0,57.6,55.1,0.0,39.6
Fresh Meadows,119.83333333333333,24,20.78625,20.541666666666668,11.5,47.9,10.3,22.1
Gerritsen Beach,143.33333333333334,6,18.641666666666666,22.666666666666668,13.8,53.3,11.3,24.9
Glendale,116.8913043478261,46,12.79978260869565,25.130434782608695,11.2,67.9,12.6,28.6
Gowanus,263.59302325581393,86,4.5888372093023255,68.31395348837209,25.3,88.5,34.2,46.9
Gramercy,340.36842105263156,133,1.9752631578947366,30.969924812030076,32.7,95.0,15.5,46.2
Graniteville,105.75,4,21.737499999999997,46.0,10.2,45.5,23.0,24.6
Grant City,74.27272727272727,11,22.53181818181818,8.181818181818182,7.1,43.5,4.1,17.1
Gravesend,128.8,30,16.05933333333333,40.9,12.4,59.7,20.4,29.0
Great Kills,120.4,5,28.137999999999998,55.8,11.6,29.5,27.9,21.9
Greenpoint,295.6218181818182,275,4.65930909090909,31.316363636363636,28.4,88.3,15.7,42.6
Greenwich Village,457.67045454545456,88,2.736818181818182,13.840909090909092,43.9,93.1,6.9,47.6
Grymes Hill,239.0,3,17.02,62.333333333333336,22.9,57.3,31.2,35.7
Harlem,177.70653266331658,995,5.041798994974875,45.018090452261305,17.1,87.4,22.5,39.8
Hell's Kitchen,288.7510548523207,948,1.0825210970464134,24.640295358649787,27.7,97.3,12.3,44.0
Highbridge,72.125,8,8.778749999999999,16.75,6.9,78.0,8.4,28.7
Hollis,103.6875,16,24.8175,26.5,10.0,37.8,13.2,19.3
Holliswood,485.0,1,23.62,3.0,46.6,40.8,1.5,31.3
Howard Beach,146.76470588235293,34,18.212058823529414,33.911764705882355,14.1,54.3,17.0,27.0
Howland Hook,137.0,2,22.6,19.5,13.2,43.3,9.8,21.2
Huguenot,108.0,3,31.326666666666668,200.0,10.4,21.5,100.0,40.6
Hunts Point,64.78947368421052,19,9.921052631578947,18.736842105263158,6.2,75.1,9.4,27.8
Inwood,116.859375,64,13.10265625,32.265625,11.2,67.2,16.1,29.5
Jackson Heights,89.8411214953271,107,10.534112149532712,36.18691588785047,8.6,73.6,18.1,31.0
Jamaica,119.62189054726367,201,23.598855721393033,57.582089552238806,11.5,40.8,28.8,25.5
Jamaica Estates,99.25,20,21.170499999999997,18.85,9.5,46.9,9.4,20.7
Jamaica Hills,290.0,16,21.229375,12.3125,27.8,46.8,6.2,27.0
Kensington,197.61290322580646,31,9.72709677419355,50.74193548387097,19.0,75.6,25.4,37.9
Kew Gardens,91.76190476190476,21,18.350952380952382,23.047619047619047,8.8,54.0,11.5,23.2
Kew Gardens Hills,205.45454545454547,11,18.53909090909091,25.0,19.7,53.5,12.5,27.7
Kingsbridge,107.86206896551724,29,15.290344827586207,25.689655172413794,10.4,61.7,12.8,26.5
Kips Bay,303.5725806451613,248,1.2518145161290322,13.14516129032258,29.1,96.9,6.6,42.7
Laurelton,122.71794871794872,39,28.51076923076923,35.12820512820513,11.8,28.5,17.6,18.6
Lighthouse Hill,185.0,2,24.83,28.5,17.8,37.8,14.2,22.7
Little Italy,221.66666666666666,69,1.9191304347826086,24.202898550724637,21.3,95.2,12.1,40.7
Little Neck,82.5,4,25.8225,43.5,7.9,35.3,21.8,20.3
Long Island City,231.13080168776372,237,4.861898734177215,40.33755274261603,22.2,87.8,20.2,41.3
Longwood,93.58620689655173,29,8.516551724137932,30.310344827586206,9.0,78.7,15.2,31.8
Lower East Side,281.9235880398671,301,2.073189368770764,52.1328903654485,27.1,94.8,26.1,47.1
Manhattan Beach,95.25,4,19.384999999999998,80.75,9.1,51.4,40.4,31.2
