cluster_id,center_lat,center_lon,listing_count,avg_price,max_price,total_value,tier
2,41.89560267105166,-87.65454209679882,6,1652.5,2273.0,9915.0,Luxury
0,41.88808606648996,-87.64929372882253,7,1484.2857142857142,2465.0,10390.0,Luxury
1,41.89732571776915,-87.63081691166826,32,1412.0625,2381.0,45186.0,Luxury
3,41.94864573304356,-87.65794134724099,6,1406.6666666666667,2154.0,8440.0,Luxury
